"Zion Williamson returns to NBA campus, begins quarantine","Jul 24, 2020 8:09 PM ET",null,"













Jul 24, 2020 8:09 PM ET

            Zion Williamson left the NBA campus last week for an unspecified family emergency.
          
LAKE BUENA VISTA, Fla. (AP) -- Zion Williamson will be out of quarantine by the time New Orleans plays in the first official game of the NBA restart at Walt Disney World.
Whether the Pelicans will play him that night or not remains anyone’s guess.
The NBA said Saturday that Williamson will have to serve a four-day quarantine for leaving the league’s Disney bubble on July 16 to tend to an urgent family matter. He returned to Disney on Friday night and immediately went into quarantine.
That means he will likely be released from quarantine sometime Tuesday, two days before the Pelicans play the first “seeding game” against the Utah Jazz.
A person familiar with the situation said that if all goes well with Williamson’s quarantine, he can return to team activities during a practice scheduled for Tuesday night. The person spoke to The Associated Press on condition of anonymity because such plans have not been completed and cannot be until Williamson passes more tests now that he has returned to Disney.
“The most important thing is we hope everything’s OK with him,” Pelicans forward Derrick Favors said Saturday, shortly after the NBA revealed the four-day quarantine determination. “He went away for personal reasons. So, it’s good to see. Whatever it was, hope everything went fine and OK and he’s back with us. And I know everybody’s excited to have him back. I know he’s excited to be back.”
Williamson was tested daily during his absence and continually came back negative for COVID-19, which helped his hopes for a shorter quarantine upon his return to Disney. The league has said quarantine for those who leave the bubble can last as much as 10 days or more if those individuals are not tested daily while they are away.
The No. 1 overall pick in last year’s NBA draft is averaging 23.6 points and 6.8 rebounds in 19 games this season for the Pelicans, who are one of six teams in the race for the final playoff spot in the Western Conference.
Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
Privacy Policy | Accessibility and Closed Caption | Terms of Use | Do Not Sell My Personal Information 
NBA.com is part of Turner Sports Digital, part of the Turner Sports & Entertainment Digital Network."
Domantas Sabonis leaving NBA campus to treat foot injury,NBA.com staff and Twitter reports  ,"Jul 24, 2020 6:30 PM ET","










NBA.com staff and Twitter reports  
Jul 24, 2020 6:30 PM ET

            Domantas Sabonis had not participated in practices in over a week, and sat out the Pacers' first scrimmage.
          
Indiana Pacers forward Domantas Sabonis will leave the NBA campus in Orlando to receive medical treatment for plantar fasciitis in his left foot.
Sabonis' availability to return to the campus in Orlando is yet to be determined.
Domantas Sabonis will leave the NBA campus in Orlando to receive medical treatment for plantar fasciitis in his left foot.>> https://t.co/jjIvnkscl0pic.twitter.com/F99VTvjRzj
A first-time All-Star this season, Sabonis was averaging 18.5 points, 12.4 rebounds and 5.0 assists for the Pacers, who are currently tied with the Philadelphia 76ers for the fifth-best record in the East playoff race.
Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
Privacy Policy | Accessibility and Closed Caption | Terms of Use | Do Not Sell My Personal Information 
NBA.com is part of Turner Sports Digital, part of the Turner Sports & Entertainment Digital Network."
Reports: Lou Williams leaves NBA campus for personal reasons,From NBA Twitter and media reports ,"Jul 24, 2020 12:34 PM ET","















From NBA Twitter and media reports 
Jul 24, 2020 12:34 PM ET

            Clippers guard Lou Williams scored 22 points in Wednesday's scrimmage.
          
The LA Clippers are reportedly down another player as the scrimmage portion of their schedule rolls on.
Reserve guard Lou Williams left the NBA campus Friday for an excused personal reason, per multiple reports. However, Williams is expected to return to the campus soon, writes Andrew Greif of the Los Angeles Times.
Lou Williams did not practice today with the Clippers. A source tells @latimessports that Williams has left the NBA bubble for excused personal reasons and is expected to return soon.
Lou Williams has left the Clippers and the NBA campus due to an excused absence. He is expected to return. Williams joins Montrezl Harrell and Patrick Beverley as Clippers who have had to leave to tend to an issue.
Starting point guard Patrick Beverley left the Orlando campus on Tuesday for a personal matter, per multiple reports. His departure came after power forward Montrezl Harrell left the team last week to tend to an emergency family matter. 
The Clippers had their first scrimmage game on July 22, scoring a 99-90 victory against the Orlando Magic, a game in which Williams scored a team-high 22 points. Their next scrimmage game is Saturday against the Washington Wizards (8 p.m. ET, League Pass). 
Williams, who led the team in scoring last season, is averaging 18.7 points and a team-high 5.7 assists while maintaining his sixth man role this season. 
LA will play its first seeding game on July 30 against the L.A. Lakers.
Information from The Associated Press was used in this report.
Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
Privacy Policy | Accessibility and Closed Caption | Terms of Use | Do Not Sell My Personal Information 
NBA.com is part of Turner Sports Digital, part of the Turner Sports & Entertainment Digital Network."
NBA Scrimmages Roundup: Day 3 from Orlando,"Jul 24, 2020 6:30 PM ET",null,"





















Jul 24, 2020 6:30 PM ET

            See the Top 5 Plays from Friday's scrimmages.
          
All 22 teams participating in the NBA Restart will play three scrimmages before game action officially tips off on July 30. The NBA will be using 10-minute quarters instead of the usual 12 minutes for each team's first game. The second and third games for each team will feature regulation quarters of 12 minutes. 
Previous Roundups: July 23 | July 22
Below are game recaps from all games played on July 24:

* * *
The Philadelphia 76ers leveraged a dominant first half and a double-double from Tobias Harris for a 90-83 win over the Memphis Grizzlies in an NBA restart scrimmage in Orlando on Friday afternoon.
The 76ers (39-26 current regular-season record) jumped out to a 25-12 advantage through the first 10 minutes and had added another 14 points to their edge by intermission. The Grizzlies (32-33 current regular-season record) trailed by as many as 29 points at one juncture, but they managed to chip 16 points off their 27-point halftime deficit during the third quarter before the comeback fell short in the final period. The biggest disparity on the stat sheet came in free-throw shooting, where Philadelphia’s 83.3% success rate dwarfed Memphis’ 56.2% figure.
Harris paced the Sixers with 15 points and 10 rebounds, adding two assists, one steal and one block. Joel Embiid followed with 10 points, six boards and one assist. Ben Simmons stuffed the stat sheet with nine points, nine assists, seven rebounds and three steals. Josh Richardson and Shake Milton contributed matching six-point tallies. Al Horford posted five points, five assists, two rebounds, one steal and one block in 18 minutes off the bench.
Jonas Valanciunas led the Grizzlies with a 20-point, 11-rebound double-double that also included two assists, one steal and one block. Kyle Anderson contributed 14 points and eight boards, while Jaren Jackson Jr. supplied 13 points, three rebounds, three assists, one steal and one block. Ja Morant shot just 3-for-12 on his way to seven points, but he added eight assists and five boards. Brandon Clarke and De’Anthony Melton registered 11 and 10 points off the bench, respectively.
Both teams return to the floor Sunday, with the Sixers facing the Oklahoma City Thunder to kick off the day’s ledger and the Grizzlies tangling with the Houston Rockets in the final contest of the night. 
By Juan Blanco, RotoWire

* * *
The Oklahoma City Thunder defeated the Boston Celtics, 98-84, in an NBA Season Restart Scrimmage in Orlando on Friday.  
Oklahoma City won all four individual quarters in this game. The Thunder shot 52% from the field and 33% from 3-point range while holding the Celtics to 44% from the field and 21% from long range. Oklahoma City also won the defensive rebounding battle, 34-24, while out-blocking Boston, 5-1.  
The Thunder were led by Shai Gilgeous-Alexander, who tallied 17 points, three rebounds and two assists. Steven Adams matched those 17 points, adding seven rebounds to his line on 8-of-11 shooting. Abdel Nader was the only other player in double figures, leading the bench with 11 points.  
The Celtics had just one player reach double figures in scoring, with Enes Kanter providing 11 points and 10 boards off the bench. Jaylen Brown led the starters with nine points and three rebounds. Daniel Theis totaled eight points, three rebounds and three assists. No player played more than 18 minutes for Boston.  
Both teams will return to action on Sunday, with Boston playing the Phoenix Suns and Oklahoma City facing off with the Philadelphia 76ers 
By Joel Bartilotta, RotoWire
* * *
Serge Ibaka scored 18 points to lead the Toronto Raptors to a 94-83 victory against the Houston Rockets in a NBA Season Restart Scrimmage in Orlando.
The Rockets led, 75-72, with 9:18 to play in the fourth quarter, but the Raptors went on a 22-4 run over the next six and half minutes to take control.
Ibaka took advantage of his extended action with Marc Gasol (rest) not playing. He shot 8-of-10 from the field, including 2-of-3 from 3-point range, and had three rebounds. Ibaka and Pascal Siakam (13 points, five rebounds) controlled the paint against Houston’s small-ball scheme, as Toronto out-rebounded Houston, 43-38. Terence Davis also contributed 15 points off the bench.
James Harden led the Rockets with 24 points and 10 assists while going 3-of-7 from beyond the arc. Russell Westbrook played only 18 minutes but finished with 10 points and nine rebounds. Danuel House Jr. also tallied 18 points and six rebounds in 31 minutes off the bench.
Both teams will hit the court again on Sunday. The Raptors will square off against the Portland Trail Blazers, while the Rockets will face the Memphis Grizzlies.
By Jeff Edgerton, RotoWire
Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
Privacy Policy | Accessibility and Closed Caption | Terms of Use | Do Not Sell My Personal Information 
NBA.com is part of Turner Sports Digital, part of the Turner Sports & Entertainment Digital Network."
Full schedule: NBA restart scrimmages,NBA.com Staff ,"Jul 22, 2020 8:27 AM ET","










NBA.com Staff 
Jul 22, 2020 8:27 AM ET

            All 22 teams in Orlando will play three scrimmages before the Season Restart begins on July 30. 
          
The NBA has released its scrimmage schedule in advance of the 2019-20 Season Restart at Walt Disney World Resort in Orlando. All 22 teams participating will play three scrimmages before the restart officially tips off on July 30. The NBA will be using 10-minute quarters instead of the usual 12 minutes for the scrimmages.
> Every scrimmage will be available on NBA League Pass
> NBA TV to televise 16 scrimmages
> Complete schedule
 
All times are Eastern Standard
The NBA Season Restart Scrimmage Schedule!From July 22-28, participating teams will compete in three inter-squad scrimmages in final preparation for the resumption of the season on July 30. #WholeNewGamepic.twitter.com/c27jDrsTQw
Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
Privacy Policy | Accessibility and Closed Caption | Terms of Use | Do Not Sell My Personal Information 
NBA.com is part of Turner Sports Digital, part of the Turner Sports & Entertainment Digital Network."
null,null,null,null
null,null,null,null
Headline,Author credits,Date and Time,Text
Report: Patrick Beverley rejoins Clippers on NBA campus,From NBA Twitter and media reports ,"Jul 27, 2020 1:32 AM ET","











From NBA Twitter and media reports 
Jul 27, 2020 1:32 AM ET

            Clippers guard Patrick Beverley has not participated in practice since last Tuesday.
          
Five days after he left the NBA campus for a family emergency, Patrick Beverley rejoined the LA Clippers on Sunday, reports ESPN's Adrian Wojnarowski.
Clippers guard Patrick Beverley has returned to the Orlando bubble after leaving for a family emergency on Tuesday, sources tell ESPN.
It remains to be seen whether Beverley will clear quarantine before the Clippers’ first seeding game on Thursday night against the Los Angeles Lakers.
If a player leaves campus for extenuating circumstances, he will be required to quarantine for 4-10 days upon his return. The period will be four days if the player who left campus produces negative tests for at least seven days prior to his return.
A lockdown defender, Beverley is averaging 7.9 points, 5.4 rebounds, 3.7 assists over 48 games this season.
Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
Privacy Policy | Accessibility and Closed Caption | Terms of Use | Do Not Sell My Personal Information 
NBA.com is part of Turner Sports Digital, part of the Turner Sports & Entertainment Digital Network."
NBA Scrimmages Roundup: Day 5 from Orlando,"Jul 26, 2020 5:39 PM ET",null,"





































Jul 26, 2020 5:39 PM ET

            Highlights from Sunday's five-game slate of scrimmages.
          
All 22 teams participating in the NBA Restart will play three scrimmages before game action officially tips off on July 30. The NBA will be using 10-minute quarters instead of the usual 12 minutes for each team's first game. The second and third games for each team will feature regulation quarters of 12 minutes. 
Previous Roundups: July 25 | July 24 | July 23 | July 22 
Below are game recaps from all games played on July 26:
* * *
Andre Roberson hit two 3-pointers with less than a minute to play to rally the Oklahoma City Thunder to a 102-97 victory against the Philadelphia 76ers in an NBA restart scrimmage at Orlando on Sunday.
The Thunder trailed by as many as 24 in the third quarter and were down 86-72 with 10 minutes to play in the fourth quarter before waking up. Oklahoma City went on an 8-0 run to tie the game at 92 with 3:20 remaining and took its first lead since the opening quarter with less than a minute remaining when Roberson drilled his first 3-pointer for a 98-97 lead. A few moments later, Roberson sank another trey to ice the game with 12.9 seconds to go. Those were his only points of the game.
Shai Gilgeous-Alexander led the way for the Thunder with 16 points, seven rebounds, two steals and five assists, while Steven Adams totaled 11 points and nine rebounds. Luguentz Dort chipped in with 13 points in a surprise start at shooting guard.
The 76ers were without Joel Embiid, who injured his right calf Friday, but Ben Simmons flirted with a triple-double, finishing with 14 points, 11 rebounds and nine assists. Al Horford had 13 points, nine boards and three assists, while Josh Richardson (10 points, four steals, three assists, two rebounds and two blocks) and Shake Milton (11 points, four boards, two assists) formed a productive backcourt tandem.
Both teams will play Tuesday. The Thunder face the Portland Trail Blazers, while the Sixers square off against the Dallas Mavericks.
-- By Juan Pablo Aravena, RotoWire
* * *
The Boston Celtics gained some key separation in the third quarter after a back-and-forth first half to notch a 117-103 victory over the Phoenix Suns in an NBA restart scrimmage in Orlando on Sunday afternoon.
The Celtics (43-21 regular-season record) were outplayed on both ends of the floor over the first 12 minutes by the Suns (26-39 regular-season record), who rang up 32 points while limiting Boston to 29. However, coach Brad Stevens’ squad turned the game around during the middle periods, when they outscored Phoenix by a 65-49 margin. The expansion of a four-point halftime advantage to 13 points by the end of the third quarter gave the Celtics the breathing room they needed to notch the double-digit win, one in which they outshot their opponent by a 48.8 percent-38.9 percent margin.
Devin Booker led the way for the Suns with 17 points, adding nine assists and four rebounds. Mikal Bridges followed with 16 points and also furnished five boards and three blocks. Cameron Johnson supplied 13 points, while Dario Saric turned in 12 points and eight boards. Deandre Ayton registered 11 points, seven rebounds and two steals. Ricky Rubio made his scrimmage debut and totaled six points, four assists and two rebounds.
Jaylen Brown paced the Celtics with a game-high 21 points on 7-for-13 shooting, including a 3-for-6 tally from 3-point range. Gordon Hayward delivered 17 points, six boards and three assists. Jayson Tatum finished with 16 points and nine rebounds, while Marcus Smart led the second unit with 10 points, five rebounds and five assists. Kemba Walker, who’s been battling knee soreness, was able to log nine minutes of action and record six points.
Both teams return to the floor Tuesday for their final scrimmages, with the Suns battling the Toronto Raptors in a matinee affair and the Celtics facing the Houston Rockets in the evening.
-- By Juan Blanco, RotoWire
* * *
The Indiana Pacers defeated the Dallas Mavericks, 118-111, in a scrimmage in Orlando on Sunday.
Dallas got out to a 37-26 lead after the first quarter and held the lead for the entirety of the first half. Indiana then responded with a 35-27 second quarter and a followed up with a 31-22 third quarter, holding the lead for the final 22 minutes of play. In fact, that swing ended up being the only lead change in the game.
Indiana out-rebounded Dallas by a 52 to 44 tally. The Pacers also shot 48 percent from the field and 86 percent from the free-throw line, while the Mavs hit 43 percent from the field and 69 percent from the charity stripe.  
T.J. Warren led the Pacers with 20 points and six rebounds. Malcolm Brogdon tallied 17 points, seven rebounds and six assists. Myles Turner totaled 15 points, eight rebounds, three assists and two blocks. Victor Oladipo finished with 16 points, seven rebounds and three assists, while Edmond Sumner paced the bench with 12 points. Indiana was without Domantas Sabonis, who departed Orlando on Friday to seek treatment for a foot injury.
For Dallas, Luka Doncic fell just shy of a triple-double, collecting 20 points, 11 rebounds and nine assists in just 24 minutes of action. Maxi Kleber generated 18 points and six rebounds. Boban Marjanovic had 11 points and six rebounds off the bench while J.J. Barea provided 14 points, six rebounds and six assists. Kristaps Porzingis did not play after breaking the league's COVID-19 testing protocol on Saturday. 
Both teams will play their final tune-up scrimmage on Tuesday, with Indiana facing the San Antonio Spurs and Dallas matching up against the Philadelphia 76ers. 
-- By Joel Baritlotta, RotoWire
* * *
The Toronto Raptors defeated the Portland Trail Blazers, 110-104, in a scrimmage from Orlando on Thursday. 
While there were 11 ties and 11 lead changes in the first 36 minutes of the game, Toronto never trailed after that. In fact, a 38-21 third quarter gave the Raptors a game-high 15-point lead, with Portland never getting it within a four-point margin for the final 18 minutes of play. The Raptors ended up recording nine blocks to the Trail Blazers' four. In addition, Toronto held Portland to just 39 percent shooting from the field.
The Trail Blazers were led by Jusuf Nurkic, who tallied 17 points, 13 rebounds, five assists, two steals and two blocks. Carmelo Anthony totaled 14 points, five rebounds and two assists. C.J. McCollum finished with 21 points, two rebounds, five assists and two steals. After missing the first scrimmage with an Achilles injury, Hassan Whiteside returned to action and posted six points, five rebounds, and two blocks in 18 minutes.
Serge Ibaka led Toronto with 19 points and six boards. Pascal Siakam generated 18 points and six rebounds. Kyle Lowry provided 13 points, six rebounds and four assists. Matt Thomas led the bench with 16 points and two rebounds.  
Both teams will play their final scrimmage game on Tuesday, with Toronto facing the Phoenix Suns and Portland playing the Oklahoma City Thunder. 
-- By Joel Baritlotta, RotoWire
* * *
The Houston Rockets defeated the Memphis Grizzlies, 119-104, on Sunday in a scrimmage from Orlando.
 
The contest got out to a competitive start, as the Rockets hit a last-second three-pointer to end the first quarter and take a three-point lead into the second. The Grizzlies kept it close in the second and held a two-point lead late in the quarter. But the Rockets closed the half on a 15-4 run to take a nine-point lead into halftime.
The Grizzlies came out on fire in the second half, as they outscored the Rockets 37-20 in the third quarter, taking an 87-79 lead into the final frame. However, the excitement was far from over, as the Rockets rallied in the fourth, outscoring the Grizzlies 40-17 in the period to earn the victory.
James Harden led the Rockets with 31 points on 7-of-15 shooting, in 36 minutes of action. Russell Westbrook tallied eight points, six rebounds and five assists, while shooting 3-of-14 from the field.
Meanwhile, seven players scored in double digits for the Grizzlies, including all five starters. Ja Morant led the way with 17 points in 31 minutes. Brandon Clarke tallied 16 points and eight rebounds, while Kyle Anderson added 15 points to go with three blocks. Jonas Valanciunas fell just short of a double-double in 26 minutes, finishing with 12 points and nine boards. 
Both teams will play their final scrimmage Tuesday. The Grizzlies take on the Heat, and the Rockets face the Celtics.
-- By Dan Bruno, RotoWire
Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
Privacy Policy | Accessibility and Closed Caption | Terms of Use | Do Not Sell My Personal Information 
NBA.com is part of Turner Sports Digital, part of the Turner Sports & Entertainment Digital Network."
Reports: Tom Thibodeau finalizing 5-year deal to become Knicks head coach,"Jul 25, 2020 1:58 PM ET",null,"
























Jul 25, 2020 1:58 PM ET

            Tom Thibodeau would take over for interim coach Mike Miller.
          
NEW YORK (AP) -- Tom Thibodeau is coming back to the New York Knicks, who are still seeking the success they enjoyed when he was an assistant two decades ago.
The Knicks are finishing a deal to make Thibodeau their coach, a person with knowledge of the details said Saturday.
No contract has been signed but a deal is expected to be announced next week, the person told The Associated Press, speaking on condition of anonymity because negotiations were ongoing.
ESPN first reported that the Knicks and Thibodeau were completing a five-year contract.
When they do, the 2011 NBA Coach of the Year in Chicago will become the 13th different person to coach the Knicks since Jeff Van Gundy resigned early in the 2001-02 season.
Orlando Magic coach Steve Clifford was told during his team’s scrimmage at Walt Disney World against the Los Angeles Lakers on Saturday that Thibodeau, his longtime friend and confidant, was going to get the New York job.
“Look, he’s one of my closest friends,” Clifford said. “He’s one of the best coaches in the league and he understands New York. He was in New York for a long time. New York is a different animal. He understands the fan base. He understands the New York media and he’s a great, great coach. So, he’ll do great there and it’s a great hire on their part.”
Thibodeau was an assistant under Van Gundy, who led the Knicks to the 1999 NBA Finals and into the postseason in every season he was there. New York has reached the playoffs just three times since Van Gundy’s departure.
The Knicks went 21-45 this season, missing the playoffs for a seventh straight year. Mike Miller finished the season as interim coach after David Fizdale was fired 22 games into the season.
New Knicks President Leon Rose then interviewed a number of candidates before choosing Thibodeau from a field that included Jason Kidd, former Brooklyn coach Kenny Atkinson and Miller, who impressed Rose while going 17-27 before the season was suspended in March.
San Antonio assistants Will Hardy and Ime Udoka were also candidates. Spurs coach Gregg Popovich said both will get their opportunities but praised the choice of Thibodeau.
“Tommy’s a seasoned veteran who it goes without saying understands what wins and what loses. He knows how to put a program together, create a culture and be demanding — and at the same time, make people accountable,” Popovich said.
“It’s easy to demand things, but to make people accountable and want to play the right way is not something that’s easy for everybody to do. But Tom knows it inside and out and he’ll be a great choice to organize the situation there, develop a plan, start the culture, stick to it, be persistent and get after it. So it’s a great choice.”
Thibodeau is regarded as a demanding coach who is one of the top defensive minds in the game. He devised the defense that carried the Boston Celtics to the 2008 NBA championship as an assistant before becoming Chicago’s coach in 2010.
He guided the Bulls to a 62-20 record as a rookie coach, the first of five straight postseason berths even as the team battled constant injuries to star guard Derrick Rose and others.
Overall, he is 352-246 as a head coach. He led the Minnesota Timberwolves to the postseason in 2018 but was fired the next year during a rocky season that began with star Jimmy Butler asking to be traded.
Players around the league took notice of the pending move as well.
Heat forward Jae Crowder retweeted a clip from a 2018 game Saturday, one where he was playing for Utah and Thibodeau was coaching the Timberwolves. Crowder and Thibodeau got involved in a very heated war of words during the game that night, earning them both technical fouls.
“CONGRATS TIBS ON THE NEW COACHING JOB. CANT WAIT TO HAVE THESE BATTLES WITH YOU AGAIN.!,” Crowder tweeted Saturday.
Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
Privacy Policy | Accessibility and Closed Caption | Terms of Use | Do Not Sell My Personal Information 
NBA.com is part of Turner Sports Digital, part of the Turner Sports & Entertainment Digital Network."
"Zion Williamson returns to NBA campus, begins quarantine","Jul 24, 2020 8:09 PM ET",null,"













Jul 24, 2020 8:09 PM ET

            Zion Williamson left the NBA campus last week for an unspecified family emergency.
          
LAKE BUENA VISTA, Fla. (AP) -- Zion Williamson will be out of quarantine by the time New Orleans plays in the first official game of the NBA restart at Walt Disney World.
Whether the Pelicans will play him that night or not remains anyone’s guess.
The NBA said Saturday that Williamson will have to serve a four-day quarantine for leaving the league’s Disney bubble on July 16 to tend to an urgent family matter. He returned to Disney on Friday night and immediately went into quarantine.
That means he will likely be released from quarantine sometime Tuesday, two days before the Pelicans play the first “seeding game” against the Utah Jazz.
A person familiar with the situation said that if all goes well with Williamson’s quarantine, he can return to team activities during a practice scheduled for Tuesday night. The person spoke to The Associated Press on condition of anonymity because such plans have not been completed and cannot be until Williamson passes more tests now that he has returned to Disney.
“The most important thing is we hope everything’s OK with him,” Pelicans forward Derrick Favors said Saturday, shortly after the NBA revealed the four-day quarantine determination. “He went away for personal reasons. So, it’s good to see. Whatever it was, hope everything went fine and OK and he’s back with us. And I know everybody’s excited to have him back. I know he’s excited to be back.”
Williamson was tested daily during his absence and continually came back negative for COVID-19, which helped his hopes for a shorter quarantine upon his return to Disney. The league has said quarantine for those who leave the bubble can last as much as 10 days or more if those individuals are not tested daily while they are away.
The No. 1 overall pick in last year’s NBA draft is averaging 23.6 points and 6.8 rebounds in 19 games this season for the Pelicans, who are one of six teams in the race for the final playoff spot in the Western Conference.
Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
Privacy Policy | Accessibility and Closed Caption | Terms of Use | Do Not Sell My Personal Information 
NBA.com is part of Turner Sports Digital, part of the Turner Sports & Entertainment Digital Network."
null,null,null,null
